tag,source,out_degree,k,method,seed,sigma0_saa,sigma0_mc,sigma_saa,sigma_mc,R_saa,R_mc,saa_mc_gap,cut_size,hop_mix,stop_reason,seconds,iterations_done,evaluations,scope_weights,repair_weights,destroy_weights,best_hits_by_heuristic,best_hits_by_hop,best_hits_by_scope,scope_selected,neutral_moves,fallback_used,layer_sizes,q_bounds,param_max_iter,param_segment_length,param_repair_p,param_q_min_frac,param_q_max_frac,param_reaction_factor,param_max_hop_scope,param_fixed_hop_scope
default,1347,5,4,greedy_random,7.0,34.692,28.385,1.022,1.015,0.9705407586763519,0.9642416769420469,0.006299081734305045,4,{0: 4},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,4,greedy_probability,,34.692,28.385,1.022,1.015,0.9705407586763519,0.9642416769420469,0.006299081734305045,4,{0: 4},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,4,greedy_degree,,34.692,28.385,1.022,1.015,0.9705407586763519,0.9642416769420469,0.006299081734305045,4,{0: 4},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,4,greedy_bridge,,34.692,28.385,2.342,2.3195,0.9324916407240862,0.9182843050907169,0.014207335633369289,4,{0: 4},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,4,greedy_betweenness,,34.692,28.385,1.022,1.015,0.9705407586763519,0.9642416769420469,0.006299081734305045,4,{0: 4},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,4,greedy_spectral,,34.692,28.385,1.022,1.015,0.9705407586763519,0.9642416769420469,0.006299081734305045,4,{0: 4},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,4,alns,7.0,34.692,28.385,1.022,1.015,0.9705407586763519,0.9642416769420469,0.006299081734305045,4,{0: 4},max_iter,1.8,300.0,180.0,"{0: 0.5324361621739815, 1: 0.3380681551677572, 2: 0.22876792454961012, 3: 0.2058911320946491}","{'random': 0.5541267505757225, 'probability': 0.37657271530800024, 'degree': 0.5833582076015058, 'bridge': 0.3389154437772001, 'betweenness': 0.32485045286044634, 'spectral': 0.3545902830518956}","{'random': 0.2356309622860984, 'worst': 0.4117822641892982, 'related': 0.5316130818105225}","{'random': 1, 'probability': 0, 'degree': 1, 'bridge': 0, 'betweenness': 0, 'spectral': 0}",{0: 2},"{0: 2, 1: 0, 2: 0, 3: 0}","{0: 120, 1: 75, 2: 53, 3: 52}","{'random': 15, 'probability': 9, 'degree': 30, 'bridge': 0, 'betweenness': 10, 'spectral': 18}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 5, 1: 521, 2: 8504, 3: 10865}","(1, 1)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
default,323,15,10,greedy_random,7.0,85.276,75.632,34.386,32.452,0.596768141094798,0.5709223609054369,0.025845780189361123,10,{0: 10},topk,0.04,,,,,,,,,,,,,,,,,,,,,
default,323,15,10,greedy_probability,,85.276,75.632,2.476,2.8175,0.970964867020029,0.962747249841337,0.008217617178692072,10,{0: 10},topk,0.01,,,,,,,,,,,,,,,,,,,,,
default,323,15,10,greedy_degree,,85.276,75.632,1.232,1.237,0.9855527932829871,0.9836444891051407,0.001908304177846376,10,{0: 10},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,323,15,10,greedy_bridge,,85.276,75.632,40.1,35.6595,0.529762183967353,0.5285130632536492,0.0012491207137037552,10,{0: 10},topk,0.05,,,,,,,,,,,,,,,,,,,,,
default,323,15,10,greedy_betweenness,,85.276,75.632,1.232,1.237,0.9855527932829871,0.9836444891051407,0.001908304177846376,10,{0: 10},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,323,15,10,greedy_spectral,,85.276,75.632,1.232,1.237,0.9855527932829871,0.9836444891051407,0.001908304177846376,10,{0: 10},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,323,15,10,alns,7.0,85.276,75.632,1.188,1.835,0.9860687649514518,0.9757377829490163,0.01033098200243554,10,{0: 10},max_iter,2.75,300.0,228.0,"{0: 1.1815613029351466, 1: 0.25418658283290013, 2: 0.2802407075732724, 3: 0.3915856466772391}","{'random': 0.3901711744719001, 'probability': 0.5950790333654675, 'degree': 0.887403409051393, 'bridge': 0.48295450738251006, 'betweenness': 0.7074638413469506, 'spectral': 0.9245859705673023}","{'random': 0.3215460272836186, 'worst': 1.1106568364820637, 'related': 0.5294853684849347}","{'random': 0, 'probability': 1, 'degree': 2, 'bridge': 0, 'betweenness': 1, 'spectral': 1}",{0: 5},"{0: 5, 1: 0, 2: 0, 3: 0}","{0: 153, 1: 40, 2: 48, 3: 59}","{'random': 1, 'probability': 1, 'degree': 7, 'bridge': 0, 'betweenness': 8, 'spectral': 4}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 15, 1: 135, 2: 3264, 3: 14440}","(1, 4)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
default,240,20,10,greedy_random,7.0,141.388,165.3475,93.452,112.6715,0.3390386737205421,0.3185775412389059,0.02046113248163617,10,{0: 10},topk,0.13,,,,,,,,,,,,,,,,,,,,,
default,240,20,10,greedy_probability,,141.388,165.3475,34.752,39.7755,0.7542082779302345,0.7594429912759492,-0.005234713345714681,10,{0: 10},topk,0.05,,,,,,,,,,,,,,,,,,,,,
