tag,source,out_degree,k,method,seed,sigma0_saa,sigma0_mc,sigma_saa,sigma_mc,R_saa,R_mc,saa_mc_gap,cut_size,hop_mix,stop_reason,seconds,iterations_done,evaluations,scope_weights,repair_weights,destroy_weights,best_hits_by_heuristic,best_hits_by_hop,best_hits_by_scope,scope_selected,neutral_moves,fallback_used,layer_sizes,q_bounds,param_max_iter,param_segment_length,param_repair_p,param_q_min_frac,param_q_max_frac,param_reaction_factor,param_max_hop_scope,param_fixed_hop_scope
default,1347,5,3,greedy_random,7.0,34.692,28.385,21.68,10.6445,0.37507206272339444,0.6249955962656333,-0.24992353354223884,3,{0: 3},topk,0.02,,,,,,,,,,,,,,,,,,,,,
default,1347,5,3,greedy_probability,,34.692,28.385,2.364,2.3345,0.9318574887582152,0.9177558569667078,0.014101631791507363,3,{0: 3},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,3,greedy_degree,,34.692,28.385,2.364,2.3345,0.9318574887582152,0.9177558569667078,0.014101631791507363,3,{0: 3},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,3,greedy_bridge,,34.692,28.385,23.0,11.949,0.3370229447711288,0.5790382244143033,-0.24201527964317449,3,{0: 3},topk,0.1,,,,,,,,,,,,,,,,,,,,,
default,1347,5,3,greedy_betweenness,,34.692,28.385,2.364,2.3345,0.9318574887582152,0.9177558569667078,0.014101631791507363,3,{0: 3},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,3,greedy_spectral,,34.692,28.385,2.364,2.3345,0.9318574887582152,0.9177558569667078,0.014101631791507363,3,{0: 3},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,1347,5,3,alns,7.0,34.692,28.385,2.364,2.3345,0.9318574887582152,0.9177558569667078,0.014101631791507363,3,{0: 3},max_iter,1.95,300.0,164.0,"{0: 0.5414174214340771, 1: 0.2058911320946491, 2: 0.25545751574706466, 3: 0.2058911320946491}","{'random': 0.2653707924775477, 'probability': 0.5833582076015058, 'degree': 0.48549637321083927, 'bridge': 0.2058911320946491, 'betweenness': 0.22876792454961012, 'spectral': 0.22876792454961012}","{'random': 0.4155950629317917, 'worst': 0.2802407075732724, 'related': 0.2813845471960204}","{'random': 0, 'probability': 1, 'degree': 1, 'bridge': 0, 'betweenness': 0, 'spectral': 0}",{0: 2},"{0: 2, 1: 0, 2: 0, 3: 0}","{0: 132, 1: 53, 2: 65, 3: 50}","{'random': 5, 'probability': 13, 'degree': 27, 'bridge': 1, 'betweenness': 14, 'spectral': 10}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 5, 1: 521, 2: 8504, 3: 10865}","(1, 1)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
default,323,15,3,greedy_random,7.0,85.276,75.632,52.89,45.303,0.37977860124771323,0.40100751004865676,-0.021228908800943525,3,{0: 3},topk,0.05,,,,,,,,,,,,,,,,,,,,,
default,323,15,3,greedy_probability,,85.276,75.632,17.108,9.057,0.7993808339978423,0.8802491009096679,-0.08086826691182558,3,{0: 3},topk,0.01,,,,,,,,,,,,,,,,,,,,,
default,323,15,3,greedy_degree,,85.276,75.632,17.108,9.057,0.7993808339978423,0.8802491009096679,-0.08086826691182558,3,{0: 3},topk,0.0,,,,,,,,,,,,,,,,,,,,,
default,323,15,3,greedy_bridge,,85.276,75.632,41.762,36.2715,0.5102725268539801,0.5204212502644383,-0.010148723410458249,3,{0: 3},topk,0.04,,,,,,,,,,,,,,,,,,,,,
default,323,15,3,greedy_betweenness,,85.276,75.632,14.62,13.113,0.8285566865237581,0.826621006981172,0.0019356795425861106,3,{0: 3},topk,0.02,,,,,,,,,,,,,,,,,,,,,
default,323,15,3,greedy_spectral,,85.276,75.632,17.108,9.057,0.7993808339978423,0.8802491009096679,-0.08086826691182558,3,{0: 3},topk,0.0,,,,,,,,,,,,,,,,,,,,,
