source,role,cell,out_degree,deepest_hop,reachable_edges,edges_within_max_scope,share_within_max_scope,hop0,hop1,hop2,hop3,hop4
21,calibration,"out[50,+) saturated",136,6,22542,22227,0.9860260846420016,136,5378,13944,2769,268
37,calibration,"out[50,+) saturated",77,6,22542,21963,0.9743146127229172,77,2581,13715,5590,495
116,calibration,"out[50,+) low-reach",53,6,22542,21892,0.9711649365628604,53,2164,14007,5668,568
216,calibration,"out[20,50) low-reach",26,7,22542,21120,0.9369177535267501,26,608,9083,11403,1283
222,calibration,"out[10,20) saturated",19,6,22542,21414,0.9499600745275486,19,1225,10872,9298,1016
240,calibration,"out[20,50) low-reach",20,6,22542,21125,0.9371395617070357,20,841,11010,9254,1268
323,calibration,"out[10,20) low-reach",15,7,22542,17854,0.792032650164138,15,135,3264,14440,4231
363,calibration,"out[4,10) low-reach",6,8,22542,8913,0.3953952621772691,6,46,523,8338,11605
374,calibration,"out[20,50) saturated",27,6,22542,21177,0.9394463667820069,27,1187,11182,8781,1226
689,calibration,"out[4,10) saturated",5,7,22542,17954,0.7964688137698518,5,136,3389,14424,4159
747,calibration,"out[10,20) saturated",16,6,22542,21021,0.9325259515570934,16,1249,11149,8607,1371
1347,calibration,"out[4,10) low-reach",5,7,22542,19895,0.8825747493567563,5,521,8504,10865,2372
1589,calibration,"out[10,20) low-reach",13,6,22542,20771,0.921435542542809,13,1090,9939,9729,1608
3463,calibration,"out[20,50) saturated",28,7,22542,21418,0.9501375210717772,28,1169,11698,8523,1019
3674,calibration,"out[4,10) saturated",7,7,22542,20247,0.8981900452488688,7,432,7314,12494,2095
3,measurement,"out[50,+) saturated",209,6,22542,22221,0.9857599148256587,209,4651,13982,3379,284
13,measurement,"out[50,+) saturated",92,6,22542,21909,0.9719190843758317,92,2482,13311,6024,553
24,measurement,"out[50,+) saturated",106,6,22542,22084,0.9796823706858309,106,3745,13730,4503,415
95,measurement,"out[20,50) saturated",44,6,22542,21544,0.9557270872149765,44,2124,12909,6467,885
96,measurement,"out[20,50) saturated",44,6,22542,21990,0.97551237689646,44,2612,14231,5103,496
123,measurement,"out[50,+) saturated",55,6,22542,21839,0.9688137698518321,55,2927,13240,5617,635
142,measurement,"out[20,50) saturated",24,7,22542,20613,0.9144264040457812,24,624,9571,10394,1719
145,measurement,"out[20,50) low-reach",35,6,22542,21733,0.9641114364297755,35,2041,13592,6065,732
201,measurement,"out[20,50) low-reach",25,7,22542,20485,0.9087481146304676,25,640,8443,11377,1889
218,measurement,"out[20,50) low-reach",25,6,22542,21613,0.958788040102919,25,1431,12937,7220,820
233,measurement,"out[10,20) saturated",10,7,22542,19554,0.8674474314612723,10,271,5713,13560,2708
256,measurement,"out[10,20) saturated",11,7,22542,20815,0.923387454529323,11,448,9077,11279,1536
271,measurement,"out[20,50) saturated",30,6,22542,21792,0.9667287729571467,30,1875,13578,6309,661
274,measurement,"out[10,20) low-reach",11,8,22542,9728,0.4315499955638364,11,78,751,8888,11128
340,measurement,"out[10,20) low-reach",16,7,22542,20165,0.8945523910921834,16,520,7355,12274,2149
359,measurement,"out[20,50) low-reach",22,6,22542,21296,0.9447254014728064,22,927,11508,8839,1111
376,measurement,"out[4,10) saturated",4,7,22542,19129,0.8485937361369887,4,493,4900,13732,3144
421,measurement,"out[10,20) low-reach",11,7,22542,19850,0.8805784757341851,11,245,5870,13724,2446
527,measurement,"out[4,10) saturated",8,6,22542,19022,0.843847041078875,8,312,6341,12361,3171
587,measurement,"out[10,20) low-reach",10,7,22542,20842,0.9245852187028658,10,540,9244,11048,1508
611,measurement,"out[4,10) low-reach",9,7,22542,12359,0.548265460030166,9,92,1193,11065,9188
622,measurement,"out[10,20) saturated",13,6,22542,21664,0.961050483541833,13,1573,12756,7322,800
637,measurement,"out[4,10) saturated",4,7,22542,20088,0.8911365451157839,4,371,7694,12019,2179
1240,measurement,"out[4,10) saturated",7,7,22542,17206,0.7632863099991127,7,122,2982,14095,4890
1449,measurement,"out[4,10) low-reach",6,6,22542,18582,0.8243279212137343,6,211,4733,13632,3640
1894,measurement,"out[4,10) low-reach",5,7,22542,18214,0.8080028391447076,5,198,4181,13830,3855
3507,measurement,"out[10,20) saturated",17,7,22542,19960,0.8854582557004702,17,559,7495,11889,2285
3663,measurement,"out[4,10) low-reach",6,7,22542,19405,0.8608375476887588,6,595,8095,10709,2823
