tag,source,out_degree,k,method,seed,sigma0_saa,sigma0_mc,sigma_saa,sigma_mc,R_saa,R_mc,saa_mc_gap,cut_size,hop_mix,stop_reason,seconds,candidates,tie_split_at_cutoff,tie_group_sizes,iterations_done,evaluations,scope_weights,repair_weights,destroy_weights,best_hits_by_heuristic,best_hits_by_hop,best_hits_by_scope,scope_selected,neutral_moves,fallback_used,layer_sizes,q_bounds,param_max_iter,param_segment_length,param_repair_p,param_q_min_frac,param_q_max_frac,param_reaction_factor,param_max_hop_scope,param_fixed_hop_scope
population,611,9,3,greedy_random,7.0,22.086,16.62,15.584,10.6405,0.2943946391379154,0.359777376654633,-0.0653827375167176,3,{0: 3},topk,0.01,9.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
population,611,9,3,greedy_probability,,22.086,16.62,15.376,10.192,0.3038123698270397,0.38676293622142,-0.0829505663943802,3,{0: 3},topk,0.01,9.0,"(2, 0)","[6, 2, 1]",,,,,,,,,,,,,,,,,,,,,
population,611,9,3,greedy_degree,,22.086,16.62,9.102,11.0125,0.5878837272480304,0.3373947051744886,0.2504890220735417,3,{0: 3},topk,0.01,9.0,"(1, 0)","[2, 2, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
population,611,9,3,greedy_bridge,,22.086,16.62,16.784,11.024,0.2400615774698904,0.3367027677496992,-0.0966411902798087,3,{0: 3},topk,0.01,9.0,"(3, 4)","[7, 2]",,,,,,,,,,,,,,,,,,,,,
population,611,9,3,greedy_betweenness,,22.086,16.62,9.176,10.0085,0.5845331884451688,0.3978038507821901,0.1867293376629786,3,{0: 3},topk,0.01,9.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
population,611,9,3,greedy_spectral,,22.086,16.62,9.176,10.0085,0.5845331884451688,0.3978038507821901,0.1867293376629786,3,{0: 3},topk,0.0,9.0,"(1, 0)","[1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
population,611,9,3,alns,7.0,22.086,16.62,9.102,11.0125,0.5878837272480304,0.3373947051744886,0.2504890220735417,3,{0: 3},max_iter,1.26,,,,300.0,195.0,"{0: 0.5414174214340771, 1: 0.22876792454961012, 2: 0.2653707924775477, 3: 0.3065490188964775}","{'random': 0.2948564360861641, 'probability': 0.22876792454961012, 'degree': 0.33891544377720023, 'bridge': 0.22876792454961012, 'betweenness': 0.5185406289791161, 'spectral': 0.3946246698480775}","{'random': 0.6440163694139024, 'worst': 0.4758372830631889, 'related': 0.2058911320946491}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 0, 'betweenness': 1, 'spectral': 1}",{0: 2},"{0: 2, 1: 0, 2: 0, 3: 0}","{0: 111, 1: 53, 2: 60, 3: 76}","{'random': 2, 'probability': 2, 'degree': 12, 'bridge': 1, 'betweenness': 11, 'spectral': 11}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 9, 1: 92, 2: 1193, 3: 11065}","(1, 1)",300.0,20.0,6.0,0.1,0.4,0.1,3.0,
population,1894,5,3,greedy_random,7.0,29.33,32.625,8.852,13.196,0.6981929764745993,0.5955249042145594,0.1026680722600399,3,{0: 3},topk,0.01,5.0,"(1, 0)","[1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
population,1894,5,3,greedy_probability,,29.33,32.625,1.03,1.033,0.9648823729969316,0.968337164750958,-0.0034547917540264,3,{0: 3},topk,0.0,5.0,"(3, 2)",[5],,,,,,,,,,,,,,,,,,,,,
population,1894,5,3,greedy_degree,,29.33,32.625,1.03,1.033,0.9648823729969316,0.968337164750958,-0.0034547917540264,3,{0: 3},topk,0.0,5.0,"(1, 0)","[2, 1, 1, 1]",,,,,,,,,,,,,,,,,,,,,
