tag,source,out_degree,k,method,seed,sigma0_saa,sigma0_mc,sigma_saa,sigma_mc,R_saa,R_mc,saa_mc_gap,cut_size,hop_mix,stop_reason,seconds,iterations_done,evaluations,scope_weights,repair_weights,destroy_weights,best_hits_by_heuristic,best_hits_by_hop,best_hits_by_scope,scope_selected,neutral_moves,fallback_used,layer_sizes,q_bounds,param_max_iter,param_segment_length,param_repair_p,param_q_min_frac,param_q_max_frac,param_reaction_factor,param_max_hop_scope,param_fixed_hop_scope
scaled,611,9,4,alns,7,22.086,16.62,5.318,9.0155,0.7592139817078692,0.4575511432009628,0.30166283850690645,4,{0: 4},max_iter,1.11,400,216,"{0: 0.5240399773045659, 1: 0.18525966413801045, 2: 0.18011356235639908, 3: 0.1500946352969992}","{'random': 0.12157665459056936, 'probability': 0.33195930173186317, 'degree': 0.516481199117541, 'bridge': 0.1853020188851842, 'betweenness': 0.1853020188851842, 'spectral': 0.1853020188851842}","{'random': 0.171107884238579, 'worst': 0.378240069251457, 'related': 0.21330115393873553}","{'random': 0, 'probability': 2, 'degree': 3, 'bridge': 0, 'betweenness': 0, 'spectral': 0}","{0: 4, 1: 1}","{0: 4, 1: 1, 2: 0, 3: 0}","{0: 183, 1: 87, 2: 75, 3: 55}","{'random': 2, 'probability': 5, 'degree': 32, 'bridge': 2, 'betweenness': 11, 'spectral': 8}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 9, 1: 92, 2: 1193, 3: 11065}","(1, 1)",400,20,6,0.1,0.4,0.1,3,
scaled,611,9,3,alns,7,22.086,16.62,9.102,11.0125,0.5878837272480304,0.33739470517448866,0.25048902207354173,3,{0: 3},max_iter,1.33,300,195,"{0: 0.5414174214340771, 1: 0.22876792454961012, 2: 0.2653707924775477, 3: 0.3065490188964775}","{'random': 0.2948564360861641, 'probability': 0.22876792454961012, 'degree': 0.33891544377720023, 'bridge': 0.22876792454961012, 'betweenness': 0.5185406289791161, 'spectral': 0.3946246698480775}","{'random': 0.6440163694139024, 'worst': 0.4758372830631889, 'related': 0.2058911320946491}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 0, 'betweenness': 1, 'spectral': 1}",{0: 2},"{0: 2, 1: 0, 2: 0, 3: 0}","{0: 111, 1: 53, 2: 60, 3: 76}","{'random': 2, 'probability': 2, 'degree': 12, 'bridge': 1, 'betweenness': 11, 'spectral': 11}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 9, 1: 92, 2: 1193, 3: 11065}","(1, 1)",300,20,6,0.1,0.4,0.1,3,
scaled,421,11,5,alns,7,60.234,76.04,6.272,10.5135,0.8958727628913903,0.8617372435560231,0.03413551933536718,5,{0: 5},max_iter,3.36,500,317,"{0: 0.3520490151986351, 1: 0.1063552574358301, 2: 0.08862938119652508, 3: 0.1703653660777649}","{'random': 0.3102028341878378, 'probability': 0.1500946352969992, 'degree': 0.24313172932494892, 'bridge': 0.10941898913151243, 'betweenness': 0.23010678329185302, 'spectral': 0.23715252866385747}","{'random': 0.2000438991423234, 'worst': 0.19929752220925134, 'related': 0.20373679002551204}","{'random': 1, 'probability': 0, 'degree': 1, 'bridge': 0, 'betweenness': 0, 'spectral': 3}",{0: 5},"{0: 5, 1: 0, 2: 0, 3: 0}","{0: 248, 1: 74, 2: 52, 3: 126}","{'random': 8, 'probability': 3, 'degree': 12, 'bridge': 3, 'betweenness': 13, 'spectral': 20}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 11, 1: 245, 2: 5870, 3: 13724}","(1, 2)",500,20,6,0.1,0.4,0.1,3,
scaled,421,11,6,alns,7,60.234,76.04,3.714,8.5485,0.9383404721585815,0.8875789058390321,0.05076156631954942,6,{0: 6},max_iter,3.62,600,390,"{0: 0.4267245086754324, 1: 0.0880322407407135, 2: 0.19702404021738915, 3: 0.1414951807311073}","{'random': 0.20066281549668033, 'probability': 0.14123091893666265, 'degree': 0.3274916650209886, 'bridge': 0.2505272537581182, 'betweenness': 0.1802641847094243, 'spectral': 0.33942995876888304}","{'random': 0.1840777613768988, 'worst': 0.2176041603252923, 'related': 0.22032738720151668}","{'random': 1, 'probability': 0, 'degree': 2, 'bridge': 1, 'betweenness': 0, 'spectral': 4}",{0: 8},"{0: 8, 1: 0, 2: 0, 3: 0}","{0: 291, 1: 72, 2: 126, 3: 111}","{'random': 7, 'probability': 3, 'degree': 15, 'bridge': 6, 'betweenness': 12, 'spectral': 38}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 11, 1: 245, 2: 5870, 3: 13724}","(1, 2)",600,20,6,0.1,0.4,0.1,3,
scaled,421,11,4,alns,7,60.234,76.04,11.438,13.765,0.8101072483979148,0.8189768542872172,-0.008869605889302412,4,{0: 4},max_iter,2.6,400,249,"{0: 0.5332528848468389, 1: 0.29722907084230754, 2: 0.2919840971977626, 3: 0.25201074568385046}","{'random': 0.2914059548988405, 'probability': 0.3179473807371619, 'degree': 0.5003154509899973, 'bridge': 0.5624286877203111, 'betweenness': 0.4816258893652376, 'spectral': 0.44953343271451257}","{'random': 0.3133572953110267, 'worst': 0.44507824274617314, 'related': 0.3705818015281021}","{'random': 0, 'probability': 0, 'degree': 1, 'bridge': 0, 'betweenness': 2, 'spectral': 2}",{0: 5},"{0: 5, 1: 0, 2: 0, 3: 0}","{0: 158, 1: 79, 2: 94, 3: 69}","{'random': 1, 'probability': 1, 'degree': 9, 'bridge': 7, 'betweenness': 25, 'spectral': 21}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 11, 1: 245, 2: 5870, 3: 13724}","(1, 1)",400,20,6,0.1,0.4,0.1,3,
scaled,421,11,3,alns,7,60.234,76.04,19.188,25.622,0.6814423747385199,0.6630457653866386,0.018396609351881255,3,{0: 3},max_iter,2.52,300,197,"{0: 0.9961289751684872, 1: 0.4770234871164091, 2: 0.4409038875064502, 3: 0.5239067901722552}","{'random': 0.8568912136833542, 'probability': 0.6939293711338174, 'degree': 0.28242953648100017, 'bridge': 0.5592104822323802, 'betweenness': 0.7192673352638272, 'spectral': 0.7674316580029976}","{'random': 0.5406508269779147, 'worst': 0.7474850719890269, 'related': 0.5141831447019809}","{'random': 1, 'probability': 1, 'degree': 0, 'bridge': 0, 'betweenness': 1, 'spectral': 3}",{0: 6},"{0: 6, 1: 0, 2: 0, 3: 0}","{0: 129, 1: 57, 2: 52, 3: 62}","{'random': 4, 'probability': 5, 'degree': 6, 'bridge': 1, 'betweenness': 18, 'spectral': 13}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 11, 1: 245, 2: 5870, 3: 13724}","(1, 1)",300,20,6,0.1,0.4,0.1,3,
scaled,340,16,8,alns,7,150.816,155.946,17.926,26.378,0.8811399321026947,0.8308517050773986,0.05028822702529612,8,{0: 8},max_iter,8.92,800,607,"{0: 0.13586794177848657, 1: 0.05581448324684378, 2: 0.03799542831344683, 3: 0.048048091256237636}","{'random': 0.08517907568792739, 'probability': 0.11875478096683831, 'degree': 0.08810675395677604, 'bridge': 0.061702685933925853, 'betweenness': 0.09213429741558059, 'spectral': 0.0892217296031993}","{'random': 0.03943735074902683, 'worst': 0.12625154257953358, 'related': 0.05034910137999391}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 0, 'betweenness': 1, 'spectral': 3}",{0: 4},"{0: 4, 1: 0, 2: 0, 3: 0}","{0: 367, 1: 168, 2: 105, 3: 160}","{'random': 1, 'probability': 2, 'degree': 14, 'bridge': 0, 'betweenness': 24, 'spectral': 18}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 16, 1: 520, 2: 7355, 3: 12274}","(1, 3)",800,20,6,0.1,0.4,0.1,3,
scaled,201,25,10,alns,7,203.966,197.1685,32.348,40.0785,0.8414049400390261,0.796729700738201,0.044675239300825065,10,{0: 10},max_iter,16.09,1000,886,"{0: 0.15972622757301277, 1: 0.06952017594944122, 2: 0.01824800363140075, 3: 0.030816940663934332}","{'random': 0.3050184823133033, 'probability': 0.08010989409066263, 'degree': 0.055441513805211194, 'bridge': 0.07147724562159254, 'betweenness': 0.05939312245610489, 'spectral': 0.053488563019509786}","{'random': 0.24459879169327253, 'worst': 0.07718663210612779, 'related': 0.05394884685664899}","{'random': 2, 'probability': 2, 'degree': 1, 'bridge': 1, 'betweenness': 5, 'spectral': 0}","{1: 1, 0: 10}","{0: 10, 1: 1, 2: 0, 3: 0}","{0: 505, 1: 258, 2: 63, 3: 174}","{'random': 2, 'probability': 6, 'degree': 11, 'bridge': 1, 'betweenness': 15, 'spectral': 4}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 25, 1: 640, 2: 8443, 3: 11377}","(1, 4)",1000,20,6,0.1,0.4,0.1,3,
scaled,201,25,9,alns,7,203.966,197.1685,41.456,48.9285,0.7967504387986233,0.751844234753523,0.04490620404510026,9,{0: 9},max_iter,15.03,900,735,"{0: 0.1609373093085629, 1: 0.045583013497721266, 2: 0.03892531968039745, 3: 0.047992095940274496}","{'random': 0.11108401725309387, 'probability': 0.07464406597933258, 'degree': 0.08437273780680392, 'bridge': 0.04874983201649868, 'betweenness': 0.09606688561990669, 'spectral': 0.10287859028211206}","{'random': 0.05268134554035358, 'worst': 0.0927203525420647, 'related': 0.12173015003650164}","{'random': 4, 'probability': 0, 'degree': 0, 'bridge': 0, 'betweenness': 5, 'spectral': 3}","{0: 11, 1: 1}","{0: 11, 1: 1, 2: 0, 3: 0}","{0: 481, 1: 159, 2: 102, 3: 158}","{'random': 4, 'probability': 5, 'degree': 6, 'bridge': 0, 'betweenness': 8, 'spectral': 17}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 25, 1: 640, 2: 8443, 3: 11377}","(1, 3)",900,20,6,0.1,0.4,0.1,3,
scaled,201,25,12,alns,7,203.966,197.1685,19.32,20.278,0.9052783307021759,0.8971539571483275,0.00812437355384843,12,{0: 12},max_iter,17.62,1200,1047,"{0: 0.03925206620590775, 1: 0.015164085408678103, 2: 0.038268778314703066, 3: 0.020917773536796302}","{'random': 0.022910368559223643, 'probability': 0.030569234591241275, 'degree': 0.05501973917203781, 'bridge': 0.0255966148904141, 'betweenness': 0.05808390577824951, 'spectral': 0.029477378237615856}","{'random': 0.020676200840633614, 'worst': 0.04269597012126143, 'related': 0.017271173384114658}","{'random': 0, 'probability': 1, 'degree': 6, 'bridge': 1, 'betweenness': 1, 'spectral': 1}",{0: 10},"{0: 10, 1: 0, 2: 0, 3: 0}","{0: 459, 1: 197, 2: 339, 3: 205}","{'random': 0, 'probability': 4, 'degree': 21, 'bridge': 1, 'betweenness': 17, 'spectral': 12}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 25, 1: 640, 2: 8443, 3: 11377}","(1, 4)",1200,20,6,0.1,0.4,0.1,3,
scaled,145,35,18,alns,7,301.714,266.5705,19.962,25.079,0.9338380055284143,0.9059198223359299,0.027918183192484403,18,{0: 18},max_iter,31.33,1800,1550,"{0: 0.0012908967201936622, 1: 0.00040791230475122845, 2: 0.00042396268237949314, 3: 0.00047190818073988123}","{'random': 0.0010969195486569907, 'probability': 0.0008014273412476914, 'degree': 0.0006564899702741757, 'bridge': 0.00055738202588726, 'betweenness': 0.0010535121183991689, 'spectral': 0.0010090524145901882}","{'random': 0.0002983952463090106, 'worst': 0.001134996783834224, 'related': 0.0004303335587269129}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 1, 'betweenness': 2, 'spectral': 4}",{0: 7},"{0: 7, 1: 0, 2: 0, 3: 0}","{0: 993, 1: 222, 2: 324, 3: 261}","{'random': 0, 'probability': 0, 'degree': 18, 'bridge': 0, 'betweenness': 16, 'spectral': 43}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 35, 1: 2041, 2: 13592, 3: 6065}","(1, 7)",1800,20,6,0.1,0.4,0.1,3,
scaled,145,35,20,alns,7,301.714,266.5705,8.044,14.454,0.9733389899043465,0.9457779461718382,0.02756104373250834,20,{0: 20},max_iter,27.43,2000,1561,"{0: 0.0005417255987792704, 1: 0.00010449567633177853, 2: 0.00010341329311505334, 3: 9.189648335691839e-05}","{'random': 0.00020603015418766722, 'probability': 0.00021847450052839252, 'degree': 0.0003095389017681261, 'bridge': 0.00017696434542799794, 'betweenness': 0.00034221823197401946, 'spectral': 0.0005901638675793856}","{'random': 0.00019288110919232784, 'worst': 0.0004285268199075908, 'related': 0.0005703385830007099}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 0, 'betweenness': 3, 'spectral': 2}",{0: 5},"{0: 5, 1: 0, 2: 0, 3: 0}","{0: 1363, 1: 193, 2: 245, 3: 199}","{'random': 0, 'probability': 1, 'degree': 32, 'bridge': 0, 'betweenness': 30, 'spectral': 55}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 35, 1: 2041, 2: 13592, 3: 6065}","(2, 8)",2000,20,6,0.1,0.4,0.1,3,
scaled,376,4,3,alns,7,570.604,571.5265,1.026,1.019,0.9982019053494192,0.9982170555521047,-1.5150202685498826e-05,3,{0: 3},max_iter,7.33,300,211,"{0: 0.2058911320946491, 1: 0.2058911320946491, 2: 0.2058911320946491, 3: 0.2058911320946491}","{'random': 0.25418658283290013, 'probability': 0.2058911320946491, 'degree': 0.22876792454961012, 'bridge': 0.22876792454961012, 'betweenness': 0.2058911320946491, 'spectral': 0.22876792454961012}","{'random': 0.2058911320946491, 'worst': 0.2058911320946491, 'related': 0.2058911320946491}","{'random': 0, 'probability': 0, 'degree': 0, 'bridge': 0, 'betweenness': 0, 'spectral': 0}",{},"{0: 0, 1: 0, 2: 0, 3: 0}","{0: 78, 1: 81, 2: 68, 3: 73}","{'random': 9, 'probability': 8, 'degree': 8, 'bridge': 1, 'betweenness': 12, 'spectral': 7}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 4, 1: 493, 2: 4900, 3: 13732}","(1, 1)",300,20,6,0.1,0.4,0.1,3,
scaled,256,11,6,alns,7,625.82,626.035,18.95,26.4695,0.969719727717235,0.9577188176379915,0.012000910079243532,6,{0: 6},max_iter,12.57,600,334,"{0: 0.21697992865314386, 1: 0.06411008504585172, 2: 0.06299797132566859, 3: 0.0523347633027361}","{'random': 0.12010828177977942, 'probability': 0.1046695266054722, 'degree': 0.15935935425683137, 'bridge': 0.0857243422898817, 'betweenness': 0.17283555580728588, 'spectral': 0.16005715110086788}","{'random': 0.15311656463429077, 'worst': 0.07850214495410414, 'related': 0.12351004139445725}","{'random': 2, 'probability': 0, 'degree': 1, 'bridge': 1, 'betweenness': 2, 'spectral': 1}",{0: 7},"{0: 7, 1: 0, 2: 0, 3: 0}","{0: 336, 1: 91, 2: 100, 3: 73}","{'random': 5, 'probability': 13, 'degree': 9, 'bridge': 2, 'betweenness': 31, 'spectral': 28}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 11, 1: 448, 2: 9077, 3: 11279}","(1, 2)",600,20,6,0.1,0.4,0.1,3,
scaled,201,25,5,alns,7,203.966,197.1685,84.386,81.2815,0.5862741829520607,0.5877561578041117,-0.0014819748520510378,5,{0: 5},max_iter,12.92,500,418,"{0: 0.7565590188614092, 1: 0.3216152347542545, 2: 0.2982433386757634, 3: 0.3713828840908694}","{'random': 0.30636142466302285, 'probability': 0.6988036361231139, 'degree': 0.47755080578572906, 'bridge': 0.43055638427255355, 'betweenness': 0.4431131847212287, 'spectral': 0.3378101907419206}","{'random': 0.2687961876950075, 'worst': 0.5972378909948792, 'related': 0.3353118541730941}","{'random': 0, 'probability': 4, 'degree': 1, 'bridge': 1, 'betweenness': 2, 'spectral': 0}",{0: 8},"{0: 8, 1: 0, 2: 0, 3: 0}","{0: 210, 1: 101, 2: 84, 3: 105}","{'random': 0, 'probability': 5, 'degree': 1, 'bridge': 1, 'betweenness': 6, 'spectral': 4}","{0: 0, 1: 0, 2: 0, 3: 0}","{0: 25, 1: 640, 2: 8443, 3: 11377}","(1, 2)",500,20,6,0.1,0.4,0.1,3,
