source,snap_id,role,cell,out_degree,sigma0_saa,reachable,predicted_seconds
323,324,calibration,"out[10,20) low-reach",15,85.276,3618,5.9
1589,1590,calibration,"out[10,20) low-reach",13,116.598,3618,8.7
222,223,calibration,"out[10,20) saturated",19,538.894,3618,45.8
747,748,calibration,"out[10,20) saturated",16,642.732,3618,55.0
216,217,calibration,"out[20,50) low-reach",26,152.636,3618,11.8
240,241,calibration,"out[20,50) low-reach",20,141.388,3618,10.8
374,375,calibration,"out[20,50) saturated",27,587.94,3618,50.1
3463,5342,calibration,"out[20,50) saturated",28,538.636,3618,45.8
363,364,calibration,"out[4,10) low-reach",6,279.934,3618,23.0
1347,1348,calibration,"out[4,10) low-reach",5,34.692,3618,1.5
689,690,calibration,"out[4,10) saturated",5,626.102,3618,53.5
3674,7596,calibration,"out[4,10) saturated",7,531.844,3618,45.2
116,117,calibration,"out[50,+) low-reach",53,349.056,3618,29.1
21,22,calibration,"out[50,+) saturated",136,643.556,3618,55.0
37,38,calibration,"out[50,+) saturated",77,643.556,3618,55.0
274,275,measurement,"out[10,20) low-reach",11,181.678,3618,14.4
340,341,measurement,"out[10,20) low-reach",16,150.816,3618,11.7
421,422,measurement,"out[10,20) low-reach",11,60.234,3618,3.7
587,588,measurement,"out[10,20) low-reach",10,303.566,3618,25.1
233,234,measurement,"out[10,20) saturated",10,641.04,3618,54.8
256,257,measurement,"out[10,20) saturated",11,625.82,3618,53.5
622,623,measurement,"out[10,20) saturated",13,600.298,3618,51.2
3507,7335,measurement,"out[10,20) saturated",17,646.734,3618,55.3
145,146,measurement,"out[20,50) low-reach",35,301.714,3618,25.0
201,202,measurement,"out[20,50) low-reach",25,203.966,3618,16.3
218,219,measurement,"out[20,50) low-reach",25,370.246,3618,31.0
359,360,measurement,"out[20,50) low-reach",22,325.596,3618,27.1
95,96,measurement,"out[20,50) saturated",44,536.026,3618,45.6
96,97,measurement,"out[20,50) saturated",44,644.75,3618,55.1
142,143,measurement,"out[20,50) saturated",24,626.108,3618,53.5
271,272,measurement,"out[20,50) saturated",30,555.114,3618,47.3
611,612,measurement,"out[4,10) low-reach",9,22.086,3618,1.0
1449,1450,measurement,"out[4,10) low-reach",6,43.596,3618,2.2
1894,1895,measurement,"out[4,10) low-reach",5,29.33,3618,1.0
3663,7585,measurement,"out[4,10) low-reach",6,61.752,3618,3.8
376,377,measurement,"out[4,10) saturated",4,570.604,3618,48.6
527,528,measurement,"out[4,10) saturated",8,517.65,3618,44.0
637,638,measurement,"out[4,10) saturated",4,575.3,3618,49.0
1240,1241,measurement,"out[4,10) saturated",7,603.992,3618,51.6
3,4,measurement,"out[50,+) saturated",209,643.556,3618,55.0
13,14,measurement,"out[50,+) saturated",92,643.556,3618,55.0
24,25,measurement,"out[50,+) saturated",106,643.556,3618,55.0
123,124,measurement,"out[50,+) saturated",55,643.556,3618,55.0
